Car Name,Specs,Price
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:77,912 milesMPG:15city /24hwyColor:RedBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$39,900"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:32,200 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$52,995"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:14,887 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$51,984"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:28,613 milesMPG:15city /24hwyColor:BlackBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$51,900"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:22,600 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$55,000"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:15,162 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$58,900"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:4,717 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$57,995"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:26,799 milesMPG:15city /24hwyColor:WhiteBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$55,999"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:15,353 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$58,900"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:63,000 milesMPG:15city /24hwyColor:BlueBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$46,999"
Used 2013 Ford Mustang Shelby GT500 Coupe,"Mileage:1,611 milesMPG:15city /24hwyColor:SilverBody Style:CoupeEngine:8 Cyl 5.8 LTransmission:Manual","Price:$66,581"
Used 2013 Ford Mustang Shelby GT500 Convertible,"Mileage:26,063 milesMPG:15city /24hwyColor:RedBody Style:ConvertibleEngine:8 Cyl 5.8 LTransmission:Manual",Call for Price
